Temperature,Current_HPWL,Best_HPWL
3.217e+006,6574,5945
2.41275e+006,6659,5945
1.80956e+006,6417,5945
1.35717e+006,6577,5945
1.01788e+006,6561,5945
763409,6452,5831
572557,6312,5831
429418,6579,5831
322063,6299,5831
241547,6384,5831
181161,6435,5831
135870,6445,5831
101903,6429,5831
76427.1,6225,5831
57320.3,7089,5831
42990.3,6895,5831
32242.7,6565,5831
24182,6511,5831
18136.5,6898,5831
13602.4,6846,5831
10201.8,6685,5831
7651.34,6316,5831
5738.51,6625,5831
4303.88,6582,5831
3227.91,6319,5831
2420.93,6610,5831
1815.7,6510,5831
1361.77,6605,5831
1021.33,6960,5831
765.998,6736,5831
574.499,6239,5831
430.874,6514,5831
323.155,6643,5831
242.367,6433,5831
181.775,6029,5754
136.331,6082,5754
102.248,6249,5671
76.6863,5655,5614
57.5147,5787,5367
43.136,5947,5255
32.352,5352,4969
24.264,4855,4817
18.198,4783,4212
13.6485,4378,4052
10.2364,3671,3667
7.67729,3568,3331
5.75797,3207,3181
4.31848,3031,2958
3.23886,2807,2807
2.42914,2709,2696
1.82186,2599,2598
1.36639,2554,2554
1.02479,2514,2510
0.768596,2471,2471
0.576447,2429,2428
0.432335,2394,2394
0.324251,2367,2367
0.243189,2343,2343
0.182391,2334,2334
0.136794,2324,2324
0.102595,2313,2313
0.0769464,2306,2306
0.0577098,2298,2298
0.0432823,2292,2292
0.0324617,2290,2290
0.0243463,2285,2285
0.0182597,2279,2279
0.0136948,2277,2277
0.0102711,2271,2271
0.00770333,2263,2263
0.00577749,2260,2260
0.00433312,2259,2259
0.00324984,2258,2258
