Temperature,Current_HPWL,Best_HPWL
6.828e+006,13295,12687
6.1452e+006,13337,12687
5.53068e+006,13397,12543
4.97761e+006,13258,12543
4.47985e+006,13666,12383
4.03187e+006,12999,12383
3.62868e+006,13051,12383
3.26581e+006,13347,12196
2.93923e+006,13900,12196
2.64531e+006,13018,12196
2.38078e+006,13548,12196
2.1427e+006,13298,12196
1.92843e+006,13528,12196
1.73559e+006,13103,12196
1.56203e+006,13595,12196
1.40582e+006,13508,12196
1.26524e+006,13259,12196
1.13872e+006,13505,12196
1.02485e+006,13254,12196
922362,13459,12196
830125,13648,12196
747113,13389,12196
672402,13482,12196
605161,12929,12196
544645,13367,12196
490181,13239,12196
441163,13443,12196
397046,13599,12196
357342,13359,12196
321608,13440,12196
289447,13361,12196
260502,13074,12196
234452,13061,12196
211007,13555,12196
189906,13210,12196
170915,13504,12196
153824,13272,12196
138442,13458,12196
124597,13443,12196
112138,13326,12196
100924,13521,12196
90831.5,13164,12196
81748.3,13376,12196
73573.5,13170,12196
66216.2,13386,12196
59594.5,13147,12196
53635.1,13280,12196
48271.6,13201,12196
43444.4,12951,12196
39100,13102,12196
35190,13283,12196
31671,13583,12196
28503.9,13526,12196
25653.5,12849,12196
23088.1,13157,12196
20779.3,13811,12196
18701.4,13525,12196
16831.3,13671,12196
15148.1,13434,12196
13633.3,13193,12196
12270,13648,12196
11043,13970,12196
9938.69,13465,12196
8944.82,13411,12196
8050.34,13548,12196
7245.3,13465,12196
6520.77,13260,12196
5868.7,13642,12196
5281.83,12941,12196
4753.64,13960,12196
4278.28,13267,12196
3850.45,13183,12196
3465.41,13124,12196
3118.87,13309,12196
2806.98,13040,12196
2526.28,13157,12196
2273.65,13042,12196
2046.29,13306,12196
1841.66,13387,12196
1657.49,13232,12196
1491.74,13945,12196
1342.57,13726,12196
1208.31,13087,12196
1087.48,13762,12196
978.733,12823,12196
880.86,14330,12196
792.774,13316,12196
713.496,13111,12196
642.147,13777,12196
577.932,13310,12196
520.139,13491,12196
468.125,13360,12196
421.313,12761,12196
379.181,13177,12196
341.263,13156,12196
307.137,13233,12196
276.423,13074,12196
248.781,12498,12196
223.903,13612,12057
201.512,12820,12042
181.361,13186,12042
163.225,12637,11814
146.903,12243,11814
132.212,12833,11644
118.991,13437,11644
107.092,12564,11602
96.3828,12595,11602
86.7445,12305,11602
78.0701,11649,11341
70.2631,11911,11203
63.2368,11813,11077
56.9131,11523,11077
51.2218,11842,11046
46.0996,11772,10721
41.4896,11575,10721
37.3407,11013,10516
33.6066,11179,10136
30.2459,10170,9802
27.2213,10702,9802
24.4992,10354,9799
22.0493,10027,9288
19.8444,9475,8715
17.8599,8889,8440
16.0739,8497,8326
14.4665,8529,8004
13.0199,7998,7903
11.7179,7630,7547
10.5461,7407,7171
9.4915,7087,6537
8.54235,6617,6510
7.68811,6505,6362
6.9193,6086,5975
6.22737,6095,5904
5.60463,5575,5478
5.04417,5336,5293
4.53975,5118,5118
4.08578,4981,4942
3.6772,4905,4830
3.30948,4735,4720
2.97853,4597,4591
2.68068,4538,4530
2.41261,4403,4396
2.17135,4330,4308
1.95422,4221,4221
1.75879,4133,4132
1.58291,4091,4087
1.42462,4053,4044
1.28216,4022,4020
1.15394,3976,3971
1.03855,3911,3911
0.934695,3885,3882
0.841226,3844,3844
0.757103,3797,3796
0.681393,3791,3790
0.613253,3761,3761
0.551928,3745,3745
0.496735,3733,3732
0.447062,3714,3714
0.402356,3686,3686
0.36212,3675,3675
0.325908,3664,3664
0.293317,3651,3651
0.263985,3638,3638
0.237587,3632,3632
0.213828,3625,3625
0.192445,3617,3617
0.173201,3605,3605
0.155881,3598,3598
0.140293,3593,3593
0.126263,3582,3582
0.113637,3580,3580
0.102273,3573,3573
0.092046,3569,3569
0.0828414,3566,3566
0.0745573,3564,3564
0.0671016,3560,3560
0.0603914,3556,3556
0.0543523,3551,3551
0.048917,3550,3550
0.0440253,3548,3548
0.0396228,3544,3544
0.0356605,3538,3538
0.0320945,3536,3536
0.028885,3532,3532
0.0259965,3529,3529
0.0233969,3528,3528
0.0210572,3523,3523
0.0189515,3519,3519
0.0170563,3517,3517
0.0153507,3517,3517
0.0138156,3514,3514
0.0124341,3514,3514
0.0111907,3512,3512
0.0100716,3509,3509
0.00906443,3508,3508
0.00815798,3508,3508
0.00734219,3506,3506
0.00660797,3505,3505
0.00594717,3504,3504
0.00535245,3504,3504
0.00481721,3504,3504
0.00433549,3503,3503
0.00390194,3503,3503
0.00351174,3502,3502
0.00316057,3499,3499
0.00284451,3499,3499
