Temperature,Current_HPWL,Best_HPWL
6.828e+006,13295,12687
5.121e+006,13337,12687
3.84075e+006,13397,12543
2.88056e+006,13204,12543
2.16042e+006,13522,12435
1.62032e+006,13277,12435
1.21524e+006,13326,12435
911428,13552,12435
683571,13748,12435
512678,13323,12181
384509,13016,12181
288382,13173,12181
216286,13200,12181
162215,13782,12181
121661,13011,12181
91245.7,13409,12181
68434.3,13260,12181
51325.7,13249,12181
38494.3,12912,12181
28870.7,12750,12181
21653,13551,12181
16239.8,13446,12181
12179.8,13172,12181
9134.87,13139,12181
6851.16,13973,12181
5138.37,13772,12181
3853.78,13138,12181
2890.33,13771,12181
2167.75,13664,11749
1625.81,13278,11749
1219.36,13014,11749
914.519,13151,11749
685.889,13439,11749
514.417,13619,11749
385.813,12782,11749
289.359,12692,11749
217.02,13076,11749
162.765,13002,11749
122.074,12777,11749
91.5552,12183,11663
68.6664,12684,11225
51.4998,11625,11176
38.6248,10655,10548
28.9686,10347,9788
21.7265,9680,9066
16.2948,8997,8767
12.2211,8149,7788
9.16585,6800,6720
6.87439,6302,6227
5.15579,5677,5674
3.86684,5210,5197
2.90013,4901,4889
2.1751,4690,4690
1.63132,4566,4558
1.22349,4361,4361
0.91762,4254,4254
0.688215,4164,4164
0.516161,4092,4092
0.387121,4026,4026
0.290341,3957,3957
0.217756,3924,3924
0.163317,3896,3896
0.122488,3864,3864
0.0918656,3842,3842
0.0688992,3827,3827
0.0516744,3806,3806
0.0387558,3787,3787
0.0290669,3772,3772
0.0218001,3765,3765
0.0163501,3754,3754
0.0122626,3750,3750
0.00919694,3745,3745
0.0068977,3730,3730
0.00517328,3725,3725
0.00387996,3719,3719
0.00290997,3711,3711
