Temperature,Current_HPWL,Best_HPWL
2.83505e+007,57876,55918
2.12629e+007,58099,55918
1.59472e+007,57716,55918
1.19604e+007,58238,55918
8.97028e+006,57470,55918
6.72771e+006,58592,55918
5.04578e+006,57270,55918
3.78433e+006,57964,55918
2.83825e+006,58121,55918
2.12869e+006,58888,55823
1.59652e+006,57953,55823
1.19739e+006,58313,55823
898040,57732,55823
673530,59330,55823
505148,59075,55823
378861,58724,55823
284146,57156,55823
213109,59166,55823
159832,57566,55823
119874,58410,55753
89905.4,56568,55753
67429.1,57604,55753
50571.8,56753,55753
37928.9,57245,55753
28446.6,57969,55753
21335,57311,55753
16001.2,56364,55753
12000.9,55995,55393
9000.7,58285,55393
6750.52,58667,55393
5062.89,57587,55393
3797.17,58366,55393
2847.88,57088,55393
2135.91,58268,55393
1601.93,58579,55393
1201.45,56991,55393
901.086,56499,55393
675.814,56790,55393
506.861,56510,55393
380.146,57017,55215
285.109,56447,55215
213.832,56169,54408
160.374,55183,54044
120.28,54864,53461
90.2103,53620,52465
67.6578,53134,50957
50.7433,50557,49908
38.0575,49747,47974
28.5431,46035,45068
21.4073,43481,41941
16.0555,39806,38560
12.0416,36125,35910
9.03122,32913,32486
6.77341,30040,30040
5.08006,27656,27628
3.81005,25564,25495
2.85753,24250,24250
2.14315,23156,23156
1.60736,22401,22401
1.20552,21933,21933
0.904142,21458,21458
0.678106,21193,21192
0.50858,20956,20956
0.381435,20675,20675
0.286076,20509,20509
0.214557,20326,20326
0.160918,20180,20180
0.120688,20057,20057
0.0905163,19951,19951
0.0678872,19829,19829
0.0509154,19756,19756
0.0381866,19687,19687
0.0286399,19629,19629
0.0214799,19572,19572
0.01611,19522,19522
0.0120825,19481,19481
0.00906185,19428,19428
0.00679639,19397,19397
0.00509729,19334,19334
0.00382297,19288,19288
0.00286723,19225,19225
