Temperature,Current_HPWL,Best_HPWL
6.828e+006,13295,12687
5.4624e+006,13337,12687
4.36992e+006,13397,12543
3.49594e+006,13204,12543
2.79675e+006,13522,12435
2.2374e+006,13277,12435
1.78992e+006,13326,12435
1.43194e+006,13552,12435
1.14555e+006,13748,12435
916439,13323,12181
733151,13016,12181
586521,13173,12181
469217,13200,12181
375373,13782,12181
300299,13011,12181
240239,13409,12181
192191,13260,12181
153753,13249,12181
123002,12912,12181
98401.9,12772,12181
78721.5,13462,12181
62977.2,13538,12181
50381.7,13375,12181
40305.4,13524,12181
32244.3,13836,12181
25795.5,13643,12181
20636.4,13219,12181
16509.1,13743,12181
13207.3,13362,12181
10565.8,13220,12181
8452.65,13576,12149
6762.12,13674,12149
5409.7,13751,12149
4327.76,13344,12149
3462.21,13230,12149
2769.77,13404,12149
2215.81,12846,12149
1772.65,13613,12149
1418.12,13474,12149
1134.5,13564,12149
907.597,12987,12149
726.078,13390,12149
580.862,13366,12149
464.69,12672,12149
371.752,13459,12149
297.401,12942,12149
237.921,13110,12149
190.337,13207,11876
152.269,12808,11876
121.816,12580,11876
97.4525,12471,11750
77.962,12310,11553
62.3696,11348,10866
49.8957,11649,10866
39.9165,10873,10579
31.9332,10962,10190
25.5466,10455,9819
20.4373,9392,9006
16.3498,8884,8498
13.0798,7951,7766
10.4639,7319,7246
8.3711,6678,6528
6.69688,6299,6180
5.35751,5685,5608
4.28601,5261,5209
3.4288,5013,5011
2.74304,4758,4758
2.19443,4540,4529
1.75555,4364,4360
1.40444,4267,4264
1.12355,4177,4175
0.89884,4119,4114
0.719072,4062,4062
0.575258,4032,4031
0.460206,3995,3995
0.368165,3953,3953
0.294532,3916,3916
0.235626,3897,3897
0.1885,3876,3876
0.1508,3854,3854
0.12064,3836,3836
0.0965123,3819,3819
0.0772098,3806,3806
0.0617678,3797,3797
0.0494143,3783,3783
0.0395314,3773,3773
0.0316251,3764,3764
0.0253001,3763,3763
0.0202401,3757,3757
0.0161921,3746,3746
0.0129537,3736,3736
0.0103629,3734,3734
0.00829034,3729,3729
0.00663227,3721,3721
0.00530582,3715,3715
0.00424465,3711,3711
0.00339572,3699,3699
