Temperature,Current_HPWL,Best_HPWL
1.95385e+007,39285,38246
1.85616e+007,39265,38246
1.76335e+007,39782,37930
1.67518e+007,39855,37930
1.59142e+007,38842,37930
1.51185e+007,39529,37930
1.43626e+007,39261,37930
1.36445e+007,40296,37930
1.29622e+007,40590,37930
1.23141e+007,39480,37930
1.16984e+007,40283,37930
1.11135e+007,39990,37930
1.05578e+007,40170,37930
1.00299e+007,40087,37930
9.52844e+006,39159,37930
9.05202e+006,39574,37736
8.59941e+006,40059,37736
8.16944e+006,40098,37736
7.76097e+006,39756,37736
7.37292e+006,39630,37736
7.00428e+006,39676,37736
6.65406e+006,39059,37736
6.32136e+006,39333,37736
6.00529e+006,40425,37736
5.70503e+006,39947,37736
5.41978e+006,39994,37736
5.14879e+006,39436,37736
4.89135e+006,39625,37736
4.64678e+006,39913,37736
4.41444e+006,39918,37736
4.19372e+006,39676,37736
3.98403e+006,40028,37736
3.78483e+006,39868,37736
3.59559e+006,40699,37736
3.41581e+006,39290,37736
3.24502e+006,39281,37736
3.08277e+006,39422,37736
2.92863e+006,39030,37736
2.7822e+006,39116,37736
2.64309e+006,39052,37736
2.51093e+006,39139,37736
2.38539e+006,38795,37736
2.26612e+006,40309,37736
2.15281e+006,39393,37736
2.04517e+006,40226,37736
1.94291e+006,39683,37736
1.84577e+006,39656,37736
1.75348e+006,40007,37736
1.66581e+006,39174,37736
1.58252e+006,38786,37736
1.50339e+006,39974,37736
1.42822e+006,39207,37736
1.35681e+006,40453,37736
1.28897e+006,39873,37736
1.22452e+006,39730,37736
1.16329e+006,40053,37736
1.10513e+006,39760,37736
1.04987e+006,39384,37736
997379,38636,37736
947510,39977,37736
900135,40635,37736
855128,39799,37736
812372,39524,37736
771753,39445,37736
733165,40030,37736
696507,38970,37728
661682,39301,37728
628598,40125,37728
597168,38951,37728
567309,39457,37371
538944,39137,37371
511997,39834,37371
486397,39361,37371
462077,40152,37371
438973,39931,37371
417025,40289,37371
396173,39836,37371
376365,38640,37371
357546,40042,37371
339669,39311,37371
322686,39625,37371
306551,40311,37371
291224,39978,37371
276663,39760,37371
262829,39493,37371
249688,40414,37371
237204,38739,37371
225343,39318,37371
214076,39907,37371
203372,39322,37371
193204,39526,37371
183544,39444,37371
174366,40058,37371
165648,39538,37371
157366,39910,37371
149497,39064,37371
142023,39983,37371
134921,39568,37371
128175,39707,37371
121767,39783,37371
115678,39977,37371
109894,38914,37371
104400,38855,37371
99179.6,40234,37371
94220.7,40011,37371
89509.6,39244,37371
85034.2,39914,37371
80782.4,40030,37371
76743.3,40015,37371
72906.2,40278,37371
69260.8,39367,37371
65797.8,39884,37371
62507.9,40051,37371
59382.5,40106,37371
56413.4,40610,37371
53592.7,39743,37371
50913.1,39680,37371
48367.4,38939,37371
45949.1,39930,37371
43651.6,39555,37371
41469,39985,37371
39395.6,39197,37371
37425.8,39718,37371
35554.5,39096,37371
33776.8,39508,37371
32087.9,39357,37371
30483.5,38858,37371
28959.4,38856,37371
27511.4,39757,37371
26135.8,39351,37371
24829,39632,37371
23587.6,39132,37371
22408.2,39532,37371
21287.8,39161,37371
20223.4,39659,37371
19212.2,40621,37371
18251.6,39930,37371
17339,39546,37371
16472.1,40255,37371
15648.5,40085,37371
14866.1,39782,37371
14122.8,39033,37371
13416.6,39062,37371
12745.8,40180,37371
12108.5,39056,37371
11503.1,39915,37371
10927.9,39558,37371
10381.5,39639,37371
9862.45,39307,37371
9369.33,39735,37371
8900.86,38947,37371
8455.82,39834,37371
8033.03,39549,37371
7631.38,39655,37371
7249.81,39333,37371
6887.32,39244,37371
6542.95,40267,37371
6215.8,40323,37371
5905.01,38709,37371
5609.76,39002,37371
5329.27,38805,37371
5062.81,40529,37371
4809.67,39309,37371
4569.19,40077,37371
4340.73,39895,37371
4123.69,40340,37371
3917.51,39420,37371
3721.63,40136,37371
3535.55,40489,37371
3358.77,39439,37371
3190.83,40385,37371
3031.29,39941,37371
2879.73,39225,37371
2735.74,39838,37371
2598.95,39841,37371
2469.01,39142,37371
2345.56,40167,37371
2228.28,39897,37371
2116.86,39501,37371
2011.02,39805,37371
1910.47,40191,37371
1814.95,39180,37371
1724.2,39416,37371
1637.99,38935,37371
1556.09,39044,37371
1478.29,39471,37371
1404.37,39495,37371
1334.15,39276,37371
1267.44,39929,37371
1204.07,39714,37371
1143.87,39254,37371
1086.68,38732,37371
1032.34,39656,37371
980.725,39333,37371
931.688,39014,37371
885.104,39818,37371
840.849,39052,37371
798.806,40192,37371
758.866,39869,37371
720.923,38806,37371
684.877,39884,37371
650.633,39355,37371
618.101,38579,37371
587.196,38432,37371
557.836,38314,37371
529.944,39306,37371
503.447,38407,37371
478.275,39058,37371
454.361,38599,37371
431.643,39159,36913
410.061,39207,36913
389.558,38991,36913
370.08,38952,36913
351.576,38634,36913
333.997,39049,36913
317.297,39345,36775
301.432,38759,36775
286.361,38972,36775
272.043,39680,36775
258.441,39021,36775
245.519,38299,36775
233.243,39133,36775
221.581,37802,36775
210.502,37895,36775
199.976,37722,36775
189.978,38745,36775
180.479,37819,36775
171.455,38166,36775
162.882,38435,36775
154.738,37847,36560
147.001,38083,36203
139.651,37759,36055
132.668,37656,36055
126.035,37009,36055
119.733,37213,36008
113.747,35525,35442
108.059,36631,35098
102.656,36161,35098
97.5235,37565,35098
92.6473,36236,35098
88.015,35834,35098
83.6142,36256,34819
79.4335,37048,34819
75.4618,35614,34691
71.6887,36153,34167
68.1043,35637,34167
64.6991,35937,34167
61.4641,35884,33978
58.3909,34645,33776
55.4714,34140,33281
52.6978,34783,33226
50.0629,34215,33226
47.5598,34564,32672
45.1818,32871,32277
42.9227,33626,32190
40.7766,32849,32190
38.7377,33067,31911
36.8008,32082,31589
34.9608,31358,31112
33.2128,32301,30570
31.5521,31807,30141
29.9745,31223,30018
28.4758,30493,30018
27.052,30231,29188
25.6994,29960,29188
24.4144,29600,28867
23.1937,29398,28575
22.034,28441,27675
20.9323,28248,27585
19.8857,28116,27276
18.8914,27639,26660
17.9469,26611,26256
17.0495,27025,25690
16.197,25662,24909
15.3872,25256,24833
14.6178,24967,24576
13.8869,24609,24156
13.1926,23847,23779
12.533,23532,23330
11.9063,23401,22941
11.311,22349,22221
10.7454,22252,21757
10.2082,22169,21676
9.69776,21473,21347
9.21287,21405,20939
8.75223,20605,20201
8.31462,19902,19902
7.89889,19666,19579
7.50394,19301,19272
7.12875,18308,18275
6.77231,18075,17802
6.43369,18130,17802
6.11201,17830,17759
5.80641,17585,17539
5.51609,17074,17032
5.24028,16947,16905
4.97827,16432,16374
4.72936,16190,16079
4.49289,16044,15894
4.26824,15722,15588
4.05483,15435,15433
3.85209,15011,14959
3.65949,14778,14765
3.47651,14696,14534
3.30269,14706,14534
3.13755,14301,14289
2.98067,14047,14021
2.83164,13820,13796
2.69006,13765,13745
2.55556,13546,13545
2.42778,13387,13377
2.30639,13239,13223
2.19107,13151,13129
2.08152,13056,13051
1.97744,12827,12817
1.87857,12679,12679
1.78464,12614,12603
1.69541,12590,12588
1.61064,12507,12499
1.53011,12432,12419
1.4536,12368,12368
1.38092,12270,12265
1.31187,12200,12192
1.24628,12084,12082
1.18397,12018,12018
1.12477,11972,11971
1.06853,11943,11927
1.0151,11879,11879
0.964348,11850,11842
0.916131,11810,11810
0.870324,11773,11772
0.826808,11725,11724
0.785467,11681,11681
0.746194,11653,11652
0.708884,11607,11607
0.67344,11550,11549
0.639768,11513,11513
0.60778,11485,11485
0.577391,11457,11457
0.548521,11434,11434
0.521095,11397,11395
0.49504,11368,11366
0.470288,11346,11346
0.446774,11315,11314
0.424435,11297,11297
0.403213,11280,11280
0.383053,11263,11262
0.3639,11245,11245
0.345705,11249,11244
0.32842,11221,11221
0.311999,11198,11198
0.296399,11174,11174
0.281579,11157,11157
0.2675,11147,11147
