Temperature,Current_HPWL,Best_HPWL
3.217e+006,6574,5945
2.5736e+006,6659,5945
2.05888e+006,6417,5945
1.6471e+006,6577,5945
1.31768e+006,6561,5945
1.05415e+006,6452,5831
843317,6312,5831
674654,6579,5831
539723,6299,5831
431778,6384,5831
345423,6435,5831
276338,6445,5831
221071,6429,5831
176856,6225,5831
141485,7089,5831
113188,6895,5831
90550.5,6754,5831
72440.4,7036,5831
57952.3,6829,5831
46361.9,6529,5831
37089.5,6871,5831
29671.6,6525,5831
23737.3,6643,5831
18989.8,6643,5831
15191.9,6792,5671
12153.5,6597,5671
9722.79,6876,5671
7778.23,6740,5671
6222.58,6611,5671
4978.07,6461,5671
3982.45,6454,5671
3185.96,6812,5671
2548.77,6444,5671
2039.02,6559,5671
1631.21,6745,5671
1304.97,6348,5671
1043.98,6722,5671
835.181,6814,5671
668.145,6281,5671
534.516,6416,5671
427.613,6723,5671
342.09,6690,5671
273.672,6449,5671
218.938,6099,5671
175.15,6806,5671
140.12,6211,5671
112.096,5814,5671
89.6769,5901,5520
71.7415,6348,5520
57.3932,6065,5520
45.9146,5764,5345
36.7316,5683,5125
29.3853,4939,4905
23.5083,4994,4786
18.8066,4698,4436
15.0453,4736,4278
12.0362,4158,3915
9.62898,3839,3597
7.70318,3469,3458
6.16255,3318,3271
4.93004,3144,3107
3.94403,2916,2904
3.15522,2766,2766
2.52418,2724,2696
2.01934,2629,2613
1.61547,2533,2533
1.29238,2494,2492
1.0339,2453,2453
0.827123,2429,2428
0.661699,2401,2401
0.529359,2385,2385
0.423487,2373,2373
0.33879,2363,2363
0.271032,2354,2354
0.216825,2335,2335
0.17346,2324,2324
0.138768,2323,2323
0.111015,2308,2308
0.0888117,2304,2304
0.0710493,2304,2304
0.0568395,2300,2300
0.0454716,2294,2294
0.0363773,2292,2292
0.0291018,2288,2288
0.0232814,2284,2284
0.0186252,2282,2282
0.0149001,2278,2278
0.0119201,2277,2277
0.00953608,2271,2271
0.00762886,2271,2271
0.00610309,2268,2268
0.00488247,2268,2268
0.00390598,2265,2265
0.00312478,2261,2261
