Temperature,Current_HPWL,Best_HPWL
1.1833e+007,23963,22793
1.12414e+007,23643,22793
1.06793e+007,24123,22793
1.01453e+007,23525,22793
9.63805e+006,23973,22793
9.15615e+006,24324,22793
8.69834e+006,24055,22725
8.26343e+006,23329,22725
7.85025e+006,23998,22725
7.45774e+006,24527,22725
7.08485e+006,23349,22725
6.73061e+006,23720,22725
6.39408e+006,23419,22725
6.07438e+006,22976,22725
5.77066e+006,24034,22531
5.48213e+006,24096,22531
5.20802e+006,23666,22531
4.94762e+006,23645,22526
4.70024e+006,24632,22526
4.46523e+006,24479,22526
4.24196e+006,24244,22526
4.02987e+006,24405,22526
3.82837e+006,23698,22526
3.63695e+006,24737,22526
3.45511e+006,23987,22526
3.28235e+006,24061,22526
3.11823e+006,24668,22404
2.96232e+006,24796,22404
2.81421e+006,23964,22404
2.6735e+006,24070,22404
2.53982e+006,24755,22404
2.41283e+006,24575,22404
2.29219e+006,23441,22404
2.17758e+006,23907,22404
2.0687e+006,24031,22404
1.96526e+006,23661,22404
1.867e+006,24134,22404
1.77365e+006,24083,22404
1.68497e+006,23967,22173
1.60072e+006,24396,22173
1.52068e+006,23738,22173
1.44465e+006,23869,22173
1.37242e+006,24273,22173
1.3038e+006,23968,22173
1.23861e+006,24180,22173
1.17668e+006,24190,22173
1.11784e+006,24321,22173
1.06195e+006,24061,22173
1.00885e+006,24434,22173
958410,24179,22173
910490,24586,22173
864965,24532,22173
821717,24591,22173
780631,23540,22173
741600,23718,22173
704520,24018,22173
669294,24265,22173
635829,23876,22173
604038,24094,22173
573836,24415,22173
545144,23824,22173
517887,24482,22173
491992,23768,22173
467393,24281,22173
444023,23400,22173
421822,23947,22173
400731,24016,22173
380694,24632,22173
361660,24184,22173
343577,23514,22173
326398,24764,22173
310078,23747,22173
294574,24627,22173
279845,24167,22173
265853,23858,22173
252560,23847,22173
239932,23819,22173
227936,24910,22173
216539,24493,22173
205712,23687,22173
195426,24259,22173
185655,23657,22173
176372,23247,22173
167554,24725,22173
159176,24128,22173
151217,23623,22173
143656,24247,22173
136474,24091,22173
129650,24186,22173
123167,24147,22173
117009,24252,22173
111159,24093,22173
105601,24218,22173
100321,24031,22173
95304.6,24465,22173
90539.3,24581,22173
86012.4,23936,22173
81711.8,23672,22173
77626.2,23585,22173
73744.9,23555,22173
70057.6,24219,22173
66554.7,23123,22173
63227,24283,22173
60065.7,24123,22173
57062.4,23704,22173
54209.3,23392,22173
51498.8,23224,22173
48923.9,23866,22173
46477.7,23599,22173
44153.8,23997,22173
41946.1,24628,22173
39848.8,24149,22173
37856.3,23578,22173
35963.5,24410,22173
34165.3,24067,22173
32457.1,24128,22173
30834.2,24345,22173
29292.5,23722,22173
27827.9,23621,22173
26436.5,24171,22173
25114.7,24211,22173
23858.9,23592,22173
22666,23983,22173
21532.7,23525,22173
20456.1,23569,22173
19433.3,24148,22173
18461.6,24114,22173
17538.5,24752,22173
16661.6,23869,22173
15828.5,23906,22173
15037.1,23708,22173
14285.2,23229,22173
13571,23986,22173
12892.4,23488,22173
12247.8,24018,22173
11635.4,23900,22173
11053.6,23622,22173
10501,24177,22173
9975.91,24937,22173
9477.11,23911,22173
9003.26,23232,22173
8553.09,23859,22173
8125.44,23768,22173
7719.17,24684,22173
7333.21,23688,22173
6966.55,24072,22173
6618.22,23912,22173
6287.31,23851,22173
5972.94,24178,22173
5674.3,23830,22173
5390.58,23735,22173
5121.05,23961,22173
4865,23900,22173
4621.75,24756,22173
4390.66,24007,22173
4171.13,24018,22173
3962.57,23121,22173
3764.44,23112,22173
3576.22,24154,22173
3397.41,24585,22173
3227.54,23927,22173
3066.16,23539,22173
2912.86,23734,22173
2767.21,23340,22173
2628.85,23505,22173
