Temperature,Current_HPWL,Best_HPWL
2.83505e+007,57876,55918
2.40979e+007,58099,55918
2.04832e+007,57716,55918
1.74108e+007,58238,55918
1.47991e+007,57470,55918
1.25793e+007,58592,55918
1.06924e+007,57270,55918
9.08852e+006,57964,55918
7.72524e+006,59260,55918
6.56646e+006,58868,55918
5.58149e+006,57700,55874
4.74426e+006,59262,55874
4.03262e+006,58571,55874
3.42773e+006,58061,55874
2.91357e+006,58414,55800
2.47654e+006,58093,55800
2.10506e+006,57867,55800
1.7893e+006,57726,55800
1.5209e+006,57432,55800
1.29277e+006,59519,55800
1.09885e+006,58003,55800
934024,57678,55800
793921,57355,55800
674833,57612,55450
573608,57980,55450
487567,57039,55450
414432,57722,55450
352267,58039,55450
299427,57792,55450
254513,58333,55450
216336,57285,55450
183885,57916,55450
156303,57453,55450
132857,58084,55450
112929,59064,55450
95989.4,57856,55450
81591,57805,55450
69352.3,58359,55450
58949.5,58631,55450
50107,58021,55450
42591,57345,55450
36202.3,57732,55450
30772,58622,55450
26156.2,57258,55450
22232.8,57733,55450
18897.8,58065,55450
16063.2,57173,55450
13653.7,57322,55450
11605.6,58551,55450
9864.8,58453,55450
8385.08,57344,55450
7127.31,57574,55450
6058.22,57238,55450
5149.48,57585,55450
4377.06,57960,55450
3720.5,57595,55450
3162.43,57993,55450
2688.06,58202,55450
2284.85,57673,55450
1942.13,58511,55450
1650.81,57738,55450
1403.19,57727,55450
1192.71,56870,55450
1013.8,57661,55450
861.731,57057,55450
732.472,58804,55450
622.601,57645,55450
529.211,57242,55450
449.829,56168,55450
382.355,56481,54863
325.002,56926,54863
276.251,56382,54863
234.814,56909,54863
199.592,56603,54251
169.653,55763,54251
144.205,55251,53627
122.574,55258,53627
104.188,55133,52272
88.5599,53771,52272
75.2759,53380,51877
63.9845,52972,50943
54.3868,51180,50463
46.2288,50212,49104
39.2945,49159,48225
33.4003,47885,46684
28.3903,46121,45696
24.1317,44489,43932
20.512,43096,42264
17.4352,40715,40159
14.8199,38710,37688
12.5969,36406,36131
10.7074,34286,34265
9.10127,32718,32673
7.73608,30683,30204
6.57567,28881,28759
5.58932,27505,27493
4.75092,26415,26316
4.03828,25159,25148
3.43254,24140,24123
2.91766,23083,23082
2.48001,22534,22531
2.10801,21997,21991
1.79181,21547,21545
1.52304,21088,21088
1.29458,20805,20801
1.10039,20500,20498
0.935334,20244,20244
0.795034,20057,20057
0.675779,19856,19856
0.574412,19685,19685
0.48825,19562,19562
0.415013,19440,19440
0.352761,19333,19333
0.299847,19238,19238
0.25487,19152,19152
0.216639,19084,19084
0.184143,19018,19018
0.156522,18947,18947
0.133044,18894,18894
0.113087,18847,18847
0.096124,18808,18808
0.0817054,18773,18773
0.0694496,18746,18746
0.0590321,18701,18701
0.0501773,18669,18669
0.0426507,18642,18642
0.0362531,18619,18619
0.0308152,18579,18579
0.0261929,18559,18559
0.0222639,18543,18543
0.0189244,18518,18518
0.0160857,18496,18496
0.0136728,18478,18478
0.0116219,18457,18457
0.00987863,18434,18434
0.00839684,18421,18421
0.00713731,18413,18413
0.00606671,18389,18389
0.00515671,18382,18382
0.0043832,18374,18374
0.00372572,18358,18358
0.00316686,18344,18344
0.00269183,18333,18333
