Temperature,Current_HPWL,Best_HPWL
2.83505e+007,57876,55918
2.55154e+007,58099,55918
2.29639e+007,57716,55918
2.06675e+007,58238,55918
1.86008e+007,57470,55918
1.67407e+007,58592,55918
1.50666e+007,57270,55918
1.356e+007,57964,55918
1.2204e+007,59260,55918
1.09836e+007,58868,55918
9.88521e+006,57700,55874
8.89669e+006,59262,55874
8.00702e+006,58227,55874
7.20632e+006,58232,55874
6.48569e+006,57123,55874
5.83712e+006,57826,55874
5.2534e+006,58671,55874
4.72806e+006,57622,55874
4.25526e+006,57356,55874
3.82973e+006,56639,55874
3.44676e+006,57964,55874
3.10208e+006,58273,55874
2.79187e+006,57079,55874
2.51269e+006,57764,55874
2.26142e+006,58335,55874
2.03528e+006,58500,55874
1.83175e+006,57102,55874
1.64857e+006,56777,55874
1.48372e+006,57552,55874
1.33535e+006,57997,55874
1.20181e+006,58151,55874
1.08163e+006,58509,55874
973467,57840,55874
876120,57396,55874
788508,57463,55874
709657,58705,55573
638691,58387,55573
574822,57571,55573
517340,58902,55573
465606,57632,55568
419045,57786,55568
377141,58710,55568
339427,58236,55568
305484,57463,55568
274936,58719,55568
247442,58049,55568
222698,58002,54996
200428,58905,54996
180385,58167,54996
162347,58227,54996
146112,57563,54996
131501,58062,54996
118351,57300,54996
106516,56548,54996
95864.2,57867,54996
86277.7,58448,54996
77650,57137,54996
69885,57364,54996
62896.5,57824,54996
56606.8,57193,54996
50946.1,57660,54996
45851.5,57814,54996
41266.4,56694,54996
37139.7,57981,54996
33425.8,59208,54996
30083.2,57099,54996
27074.9,57206,54996
24367.4,58115,54996
21930.6,56872,54996
19737.6,57883,54996
17763.8,57893,54996
15987.4,56874,54996
14388.7,57491,54996
12949.8,58059,54996
11654.8,57822,54996
10489.4,58611,54996
9440.42,57511,54996
8496.38,57559,54996
7646.74,56981,54996
6882.07,58682,54996
6193.86,58145,54996
5574.48,58509,54996
5017.03,58843,54996
4515.32,57669,54996
4063.79,57099,54996
3657.41,58041,54996
3291.67,58674,54996
2962.5,58846,54996
2666.25,57386,54996
2399.63,57400,54996
2159.67,56030,54996
1943.7,59150,54996
1749.33,58490,54996
1574.4,57482,54996
1416.96,57678,54996
1275.26,56949,54996
1147.74,57605,54996
1032.96,57927,54996
929.665,56582,54996
836.699,57140,54996
753.029,56998,54996
677.726,56647,54996
609.953,56200,54996
548.958,57482,54996
494.062,56645,54996
444.656,57867,54615
400.19,56849,54615
360.171,56870,54615
324.154,56893,54615
291.739,57179,54615
262.565,55404,54615
236.308,56566,54615
212.678,55634,54384
191.41,56520,54384
172.269,56290,53921
155.042,55384,53921
139.538,55453,53789
125.584,55061,53199
113.026,54449,53199
101.723,54793,53199
91.5507,55076,52343
82.3957,54060,52343
74.1561,53108,51108
66.7405,52155,51067
60.0664,52478,51067
54.0598,51386,50143
48.6538,50479,49225
43.7884,49798,48631
39.4096,49732,48267
35.4686,47738,47073
31.9218,46945,46770
28.7296,47082,45175
25.8566,43940,43856
23.271,45000,43067
20.9439,42800,42309
18.8495,42360,41239
16.9645,40480,39593
15.2681,38644,38072
13.7413,37847,37048
12.3671,35790,35777
11.1304,35317,34705
10.0174,33993,33696
9.01565,32220,32210
8.11409,30881,30855
7.30268,30099,29868
6.57241,29791,29350
5.91517,28146,28078
5.32365,26869,26780
4.79129,25722,25690
4.31216,25129,25064
3.88094,24451,24413
3.49285,23790,23783
3.14356,23359,23303
2.82921,22738,22691
2.54629,22202,22196
2.29166,21754,21719
2.06249,21326,21321
1.85624,21012,21012
1.67062,20791,20782
1.50356,20540,20540
1.3532,20291,20291
1.21788,20104,20103
1.09609,19903,19903
0.986483,19759,19756
0.887835,19626,19626
0.799052,19495,19495
0.719146,19350,19350
0.647232,19263,19261
0.582509,19161,19160
0.524258,19067,19067
0.471832,18994,18994
0.424649,18922,18922
0.382184,18864,18864
0.343965,18789,18789
0.309569,18745,18745
0.278612,18685,18685
0.250751,18607,18607
0.225676,18578,18578
0.203108,18545,18545
0.182797,18521,18521
0.164518,18494,18494
0.148066,18441,18441
0.133259,18409,18409
0.119933,18386,18386
0.10794,18369,18369
0.097146,18351,18351
0.0874314,18334,18334
0.0786883,18310,18310
0.0708194,18288,18288
0.0637375,18266,18266
0.0573637,18255,18255
0.0516274,18233,18233
0.0464646,18218,18218
0.0418182,18203,18203
0.0376364,18184,18184
0.0338727,18163,18163
0.0304854,18145,18145
0.0274369,18131,18131
0.0246932,18122,18122
0.0222239,18112,18112
0.0200015,18099,18099
0.0180014,18091,18091
0.0162012,18079,18079
0.0145811,18073,18073
0.013123,18068,18068
0.0118107,18058,18058
0.0106296,18052,18052
0.00956666,18038,18038
0.00860999,18030,18030
0.00774899,18026,18026
0.00697409,18018,18018
0.00627668,18018,18018
0.00564901,18008,18008
0.00508411,18002,18002
0.0045757,17992,17992
0.00411813,17982,17982
0.00370632,17975,17975
0.00333569,17968,17968
0.00300212,17964,17964
0.00270191,17958,17958
