Temperature,Current_HPWL,Best_HPWL
6.828e+006,13295,12687
6.4866e+006,13337,12687
6.16227e+006,13397,12543
5.85416e+006,13258,12543
5.56145e+006,13666,12383
5.28338e+006,12999,12383
5.01921e+006,13051,12383
4.76825e+006,13347,12196
4.52983e+006,13900,12196
4.30334e+006,13018,12196
4.08818e+006,13548,12196
3.88377e+006,13298,12196
3.68958e+006,13528,12196
3.5051e+006,13103,12196
3.32984e+006,13595,12196
3.16335e+006,13508,12196
3.00518e+006,13259,12196
2.85493e+006,13505,12196
2.71218e+006,13254,12196
2.57657e+006,13459,12196
2.44774e+006,13648,12196
2.32535e+006,13389,12196
2.20909e+006,13482,12196
2.09863e+006,12929,12196
1.9937e+006,13367,12196
1.89402e+006,13239,12196
1.79932e+006,13443,12196
1.70935e+006,13599,12196
1.62388e+006,13359,12196
1.54269e+006,13440,12196
1.46555e+006,13361,12196
1.39228e+006,13074,12196
1.32266e+006,13061,12196
1.25653e+006,13555,12196
1.1937e+006,13210,12196
1.13402e+006,13504,12196
1.07732e+006,13272,12196
1.02345e+006,13458,12196
972278,13443,12196
923664,13735,12196
877481,14129,12196
833607,13680,12196
791927,13683,12196
752330,13116,12196
714714,13568,12196
678978,12879,12196
645029,13477,12196
612778,13625,12196
582139,13350,12196
553032,13169,12196
525380,13114,12196
499111,13439,12196
474156,13487,12196
450448,12373,12196
427926,13136,12196
406529,13543,12196
386203,12989,12196
366893,13943,12196
348548,13086,12196
331121,13491,12196
314565,13575,12196
298836,13775,12196
283895,13661,12196
269700,13010,12196
256215,13234,12196
243404,13262,12196
231234,13046,12196
219672,13757,12196
208689,12980,12196
198254,13792,12196
188341,13275,12196
178924,13328,12196
169978,13348,12196
161479,13461,12196
153405,12922,12196
145735,13404,12196
138448,13006,12196
131526,13166,12196
124950,13245,12196
118702,13339,12196
112767,13553,12196
107129,13410,12196
101772,13053,12196
96683.6,13404,12196
91849.4,13091,12196
87256.9,13573,12196
82894.1,13281,12196
78749.4,13538,12196
74811.9,13690,12196
71071.3,12964,12196
67517.8,13659,12196
64141.9,13417,12196
60934.8,13014,12196
57888,13176,12196
54993.6,13165,12196
52244,13278,12196
49631.8,12877,12196
47150.2,13123,12196
44792.7,13120,12127
42553,13629,12127
40425.4,13334,12127
38404.1,13650,12127
36483.9,13074,12127
34659.7,13830,12127
32926.7,13507,12127
31280.4,13477,12127
29716.4,13637,12127
28230.5,13564,12127
26819,13311,12127
25478.1,13153,12127
24204.2,13491,12127
22994,13030,12127
