Temperature,Current_HPWL,Best_HPWL
1.95385e+007,39285,38246
1.46539e+007,39265,38246
1.09904e+007,39782,37930
8.2428e+006,39855,37930
6.1821e+006,38842,37930
4.63658e+006,39529,37930
3.47743e+006,39261,37930
2.60807e+006,40296,37930
1.95606e+006,40590,37930
1.46704e+006,39480,37930
1.10028e+006,40283,37930
825211,39990,37930
618908,40581,37930
464181,39587,37930
348136,39031,37930
261102,38942,37930
195826,39442,37930
146870,39861,37918
110152,40311,37918
82614.3,39798,37918
61960.7,39833,37805
46470.5,39882,37805
34852.9,39661,37805
26139.7,39881,37805
19604.8,39009,37805
14703.6,39882,37805
11027.7,41463,37805
8270.76,40547,37805
6203.07,39346,37805
4652.3,39093,37756
3489.23,39306,37756
2616.92,39562,37756
1962.69,39546,37756
1472.02,40343,37756
1104.01,38640,37756
828.01,38511,37756
621.007,39197,37631
465.755,38315,37631
349.317,38662,37578
261.987,38252,37297
196.491,37620,36444
147.368,38915,36021
110.526,36811,35814
82.8945,36399,34636
62.1709,36375,34165
46.6281,33477,32864
34.9711,31996,31301
26.2283,30959,29840
19.6712,28023,27274
14.7534,24850,24728
11.0651,22634,22521
8.29881,20323,20323
6.22411,18473,18285
4.66808,17082,17027
3.50106,15567,15567
2.62579,14929,14890
1.96935,14388,14382
1.47701,13860,13856
1.10776,13524,13524
0.830818,13274,13274
0.623113,13044,13044
0.467335,12881,12881
0.350501,12707,12707
0.262876,12556,12556
0.197157,12451,12451
0.147868,12343,12343
0.110901,12272,12272
0.0831756,12192,12192
0.0623817,12132,12132
0.0467863,12089,12089
0.0350897,12029,12029
0.0263173,11979,11979
0.019738,11941,11941
0.0148035,11902,11902
0.0111026,11870,11870
0.00832695,11848,11848
0.00624521,11828,11828
0.00468391,11791,11791
0.00351293,11776,11776
0.0026347,11758,11758
