Temperature,Current_HPWL,Best_HPWL
3.217e+006,6574,5945
2.73445e+006,6659,5945
2.32428e+006,6417,5945
1.97564e+006,6577,5945
1.67929e+006,6561,5945
1.4274e+006,6452,5831
1.21329e+006,6312,5831
1.0313e+006,6579,5831
876602,6299,5831
745112,6384,5831
633345,6435,5831
538343,6445,5831
457592,6429,5831
388953,6225,5831
330610,7089,5831
281019,6895,5831
238866,6754,5831
203036,7036,5831
172581,6829,5831
146693,6529,5831
124689,6871,5831
105986,6432,5831
90088.1,6875,5831
76574.9,6783,5831
65088.7,6438,5831
55325.4,6412,5831
47026.6,6904,5831
39972.6,6853,5831
33976.7,6756,5831
28880.2,6603,5831
24548.2,6657,5831
20865.9,6783,5831
17736,6452,5831
15075.6,6716,5831
12814.3,6482,5831
10892.1,6446,5831
9258.32,6761,5831
7869.58,6729,5831
6689.14,7068,5831
5685.77,6555,5831
4832.9,6625,5831
4107.97,6868,5831
3491.77,6641,5831
2968.01,6728,5831
2522.81,6805,5831
2144.38,6498,5831
1822.73,6336,5831
1549.32,6305,5831
1316.92,6550,5831
1119.38,6394,5831
951.475,6866,5831
808.754,6497,5831
687.441,6855,5793
584.325,6336,5793
496.676,6734,5793
422.174,6786,5793
358.848,6447,5793
305.021,6453,5793
259.268,6318,5793
220.378,6259,5793
187.321,6361,5793
159.223,6168,5793
135.339,6266,5772
115.039,6431,5772
97.7828,6093,5720
83.1153,6024,5579
70.648,5870,5356
60.0508,5901,5356
51.0432,6010,5313
43.3867,5677,5199
36.8787,5462,5199
31.3469,5157,4959
26.6449,5130,4959
22.6481,4727,4660
19.2509,4702,4498
16.3633,4576,4250
13.9088,4514,4029
11.8225,4266,4029
10.0491,3763,3695
8.54174,3526,3432
7.26048,3395,3376
6.1714,3270,3157
5.24569,3098,3053
4.45884,2974,2964
3.79001,2811,2811
3.22151,2796,2775
2.73829,2732,2724
2.32754,2654,2650
1.97841,2592,2586
1.68165,2541,2541
1.4294,2499,2497
1.21499,2475,2475
1.03274,2462,2460
0.877831,2449,2444
0.746157,2418,2418
0.634233,2410,2410
0.539098,2391,2390
0.458234,2362,2362
0.389498,2343,2343
0.331074,2326,2326
0.281413,2322,2321
0.239201,2314,2314
0.203321,2304,2304
0.172823,2299,2299
0.146899,2289,2289
0.124864,2282,2282
0.106135,2278,2278
0.0902145,2277,2277
0.0766823,2267,2267
0.0651799,2258,2258
0.0554029,2252,2252
0.0470925,2251,2251
0.0400286,2250,2250
0.0340243,2239,2239
0.0289207,2237,2237
0.0245826,2235,2235
0.0208952,2234,2234
0.0177609,2233,2233
0.0150968,2232,2232
0.0128323,2230,2230
0.0109074,2228,2228
0.00927131,2225,2225
0.00788061,2224,2224
0.00669852,2222,2222
0.00569374,2221,2221
0.00483968,2221,2221
0.00411373,2219,2219
0.00349667,2217,2217
0.00297217,2217,2217
