Temperature,Current_HPWL,Best_HPWL
1.95385e+007,39285,38246
1.56308e+007,39265,38246
1.25046e+007,39782,37930
1.00037e+007,39855,37930
8.00297e+006,38842,37930
6.40238e+006,39529,37930
5.1219e+006,39261,37930
4.09752e+006,40296,37930
3.27802e+006,40590,37930
2.62241e+006,39480,37930
2.09793e+006,40283,37930
1.67834e+006,39990,37930
1.34268e+006,40581,37930
1.07414e+006,39575,37930
859312,39364,37930
687450,39625,37926
549960,39859,37926
439968,39962,37926
351974,39814,37926
281579,38433,37926
225264,39522,37926
180211,39558,37926
144169,39937,37926
115335,38990,37926
92268,39422,37926
73814.4,39856,37926
59051.5,39730,37926
47241.2,39376,37926
37793,39919,37926
30234.4,39933,37926
24187.5,40533,37926
19350,39208,37926
15480,39100,37926
12384,39288,37926
9907.2,40286,37926
7925.76,39405,37926
6340.61,39775,37926
5072.48,40085,37926
4057.99,39296,37926
3246.39,39480,37883
2597.11,39754,37567
2077.69,38855,37567
1662.15,40492,37548
1329.72,39841,37548
1063.78,39530,37548
851.022,38944,37548
680.817,39621,37548
544.654,39360,37483
435.723,39071,37307
348.578,39275,37236
278.863,38364,37236
223.09,38014,36925
178.472,38189,36916
142.778,37760,36314
114.222,38214,36314
91.3778,36694,35987
73.1022,35194,34181
58.4818,35598,34086
46.7854,34308,33219
37.4283,32038,31338
29.9427,31395,29915
23.9541,29051,28467
19.1633,28340,26433
15.3306,25534,25187
12.2645,23400,22814
9.81161,21486,21121
7.84929,19337,19281
6.27943,17734,17689
5.02355,16771,16771
4.01884,15970,15828
3.21507,14958,14942
2.57206,14441,14435
2.05764,14059,14055
1.64612,13629,13629
1.31689,13230,13229
1.05351,12994,12994
0.842811,12713,12712
0.674249,12529,12529
0.539399,12391,12391
0.431519,12281,12281
0.345215,12218,12217
0.276172,12116,12116
0.220938,12054,12054
0.17675,11979,11979
0.1414,11898,11898
0.11312,11844,11844
0.0904961,11800,11800
0.0723969,11760,11760
0.0579175,11719,11719
0.046334,11688,11688
0.0370672,11667,11667
0.0296538,11649,11649
0.023723,11632,11632
0.0189784,11614,11614
0.0151827,11589,11589
0.0121462,11564,11564
0.00971695,11544,11544
0.00777356,11525,11525
0.00621885,11508,11508
0.00497508,11493,11493
0.00398006,11474,11474
0.00318405,11451,11451
