Temperature,Current_HPWL,Best_HPWL
1.1833e+007,23963,22793
9.4664e+006,23643,22793
7.57312e+006,24123,22793
6.0585e+006,23525,22793
4.8468e+006,23973,22793
3.87744e+006,24324,22793
3.10195e+006,24055,22725
2.48156e+006,23329,22725
1.98525e+006,23998,22725
1.5882e+006,24527,22725
1.27056e+006,23349,22725
1.01645e+006,23720,22725
813158,23419,22725
650526,22976,22725
520421,24034,22531
416337,24096,22531
333069,23666,22531
266455,23645,22526
213164,24632,22526
170532,23879,22526
136425,23650,22526
109140,23619,22526
87312.1,24260,22526
69849.7,23819,22526
55879.8,24413,22526
44703.8,23463,22526
35763,24410,22512
28610.4,24424,22512
22888.4,23837,22512
18310.7,23677,22512
14648.5,24325,22512
11718.8,24498,22512
9375.07,23616,22512
7500.05,23537,22512
6000.04,24202,22512
4800.04,24217,22512
3840.03,23813,22512
3072.02,23226,22512
2457.62,23926,22512
1966.09,24304,22391
1572.88,24049,22391
1258.3,24031,22391
1006.64,23125,22391
805.312,24318,22360
644.25,23161,22360
515.4,23276,22360
412.32,23828,22360
329.856,23322,22360
263.885,23480,22183
211.108,23282,22183
168.886,23087,22076
135.109,22773,21604
108.087,22456,21469
86.4697,22036,21111
69.1758,21773,20563
55.3406,20513,20247
44.2725,20266,19749
35.418,19085,18561
28.3344,18245,18013
22.6675,17366,16510
18.134,15884,15607
14.5072,14541,14146
11.6058,13372,13158
9.28462,12432,12162
7.42769,11435,11384
5.94216,10355,10304
4.75372,9722,9722
3.80298,9177,9161
3.04238,8658,8638
2.43391,8191,8189
1.94713,7938,7935
1.5577,7698,7695
1.24616,7550,7550
0.996928,7386,7386
0.797543,7261,7260
0.638034,7200,7199
0.510427,7120,7120
0.408342,7002,7002
0.326673,6958,6958
0.261339,6905,6905
0.209071,6846,6846
0.167257,6818,6818
0.133805,6795,6795
0.107044,6770,6770
0.0856355,6743,6743
0.0685084,6717,6717
0.0548067,6704,6704
0.0438454,6672,6672
0.0350763,6654,6654
0.028061,6631,6631
0.0224488,6609,6609
0.0179591,6598,6598
0.0143673,6582,6582
0.0114938,6572,6572
0.00919504,6563,6563
0.00735603,6554,6554
0.00588483,6541,6541
0.00470786,6523,6523
0.00376629,6512,6512
0.00301303,6504,6504
