Temperature,Current_HPWL,Best_HPWL
1.1833e+007,23963,22793
1.06497e+007,23643,22793
9.58473e+006,24123,22793
8.62626e+006,23525,22793
7.76363e+006,23973,22793
6.98727e+006,24324,22793
6.28854e+006,24055,22725
5.65969e+006,23329,22725
5.09372e+006,23998,22725
4.58435e+006,24527,22725
4.12591e+006,23349,22725
3.71332e+006,23720,22725
3.34199e+006,23419,22725
3.00779e+006,22976,22725
2.70701e+006,24034,22531
2.43631e+006,24096,22531
2.19268e+006,23666,22531
1.97341e+006,23645,22526
1.77607e+006,24632,22526
1.59846e+006,24479,22526
1.43862e+006,24244,22526
1.29475e+006,24405,22526
1.16528e+006,23698,22526
1.04875e+006,24737,22526
943876,23987,22526
849489,24061,22526
764540,24668,22404
688086,24796,22404
619277,23811,22404
557350,23610,22404
501615,24566,22404
451453,24227,22404
406308,23529,22404
365677,23501,22404
329109,24448,22404
296198,23726,22404
266579,24053,22404
239921,23726,22404
215929,23953,22404
194336,24171,22404
174902,23900,22404
157412,23062,22404
141671,23657,22404
127504,24119,22404
114753,24736,22404
103278,23382,22404
92950.2,24523,22404
83655.2,24030,22404
75289.7,24991,22404
67760.7,23907,22404
60984.6,24218,22404
54886.2,24788,22404
49397.5,24179,22404
44457.8,23674,22404
40012,23482,22404
36010.8,23777,22404
32409.7,24266,22404
29168.8,23707,22404
26251.9,24058,22404
23626.7,24565,22404
21264,23952,22404
19137.6,23129,22404
17223.9,23848,22404
15501.5,24399,22404
13951.3,23651,22404
12556.2,24157,22404
11300.6,23251,22404
10170.5,24949,22404
9153.46,23800,22404
8238.12,23858,22404
7414.31,23871,22404
6672.88,23666,22404
6005.59,24137,22404
5405.03,23941,22404
4864.53,24062,22404
4378.07,23037,22404
3940.27,24211,22404
3546.24,24272,22404
3191.62,23682,22404
2872.45,23784,22404
2585.21,23928,22404
2326.69,23888,22404
2094.02,23948,22404
1884.62,24238,22404
1696.16,24174,22404
1526.54,24079,22404
1373.89,23338,22404
1236.5,24001,22404
1112.85,24416,22404
1001.56,23547,22404
901.407,23962,22404
811.266,24250,22404
730.139,24041,22404
657.125,23442,22404
591.413,23694,22404
532.272,24118,22404
479.044,23235,22404
431.14,23694,22404
388.026,23644,22392
349.223,23823,22392
314.301,23744,22137
282.871,23997,22031
254.584,23482,22031
229.125,22850,22031
206.213,22867,21949
185.592,22970,21949
167.032,23125,21933
150.329,22083,21867
135.296,23581,21750
121.767,23751,21750
109.59,21703,21495
98.631,22058,21073
88.7679,21888,20477
79.8911,21430,20477
71.902,22046,20477
64.7118,21820,20477
58.2406,21311,19996
52.4166,20925,19996
47.1749,20240,19691
42.4574,20131,18950
38.2117,19915,18950
34.3905,19260,18696
30.9515,19279,18136
27.8563,18201,17796
25.0707,17702,17370
22.5636,17144,16364
20.3072,16621,16202
18.2765,16324,15947
16.4489,15373,15174
14.804,15406,14980
13.3236,13785,13485
11.9912,13686,13307
10.7921,13325,12643
9.71289,12758,12643
8.7416,11923,11922
7.86744,11745,11643
7.0807,11281,11206
6.37263,10640,10561
5.73537,10055,9944
5.16183,9878,9750
4.64565,9493,9427
4.18108,9173,9139
3.76297,8952,8932
3.38668,8534,8509
3.04801,8479,8474
2.74321,8177,8174
2.46889,8048,8043
2.222,7914,7906
1.9998,7722,7722
1.79982,7593,7583
1.61984,7420,7420
1.45785,7337,7337
1.31207,7242,7242
1.18086,7165,7165
1.06277,7099,7099
0.956497,6997,6997
0.860848,6964,6962
0.774763,6904,6904
0.697287,6860,6858
0.627558,6783,6783
0.564802,6747,6747
0.508322,6712,6712
0.45749,6673,6673
0.411741,6649,6649
0.370567,6639,6639
0.33351,6622,6622
0.300159,6609,6609
0.270143,6598,6598
0.243129,6578,6578
0.218816,6555,6555
0.196934,6535,6535
0.177241,6528,6528
0.159517,6511,6511
0.143565,6499,6499
0.129209,6488,6488
0.116288,6476,6476
0.104659,6465,6465
0.0941931,6455,6455
0.0847738,6453,6453
0.0762964,6451,6451
0.0686668,6446,6446
0.0618001,6440,6440
0.0556201,6432,6432
0.0500581,6425,6425
0.0450523,6422,6422
0.040547,6414,6414
0.0364923,6402,6402
0.0328431,6390,6390
0.0295588,6388,6388
0.0266029,6381,6381
0.0239426,6356,6356
0.0215484,6348,6348
0.0193935,6345,6345
0.0174542,6338,6338
0.0157088,6334,6334
0.0141379,6332,6332
0.0127241,6329,6329
0.0114517,6326,6326
0.0103065,6325,6325
0.00927586,6324,6324
0.00834828,6321,6321
0.00751345,6318,6318
0.0067621,6318,6318
0.00608589,6312,6312
0.0054773,6310,6310
0.00492957,6308,6308
0.00443662,6306,6306
0.00399295,6303,6303
0.00359366,6299,6299
0.00323429,6299,6299
0.00291086,6297,6297
