Temperature,Current_HPWL,Best_HPWL
1.95385e+007,39285,38246
1.66077e+007,39265,38246
1.41166e+007,39782,37930
1.19991e+007,39855,37930
1.01992e+007,38842,37930
8.66934e+006,39529,37930
7.36894e+006,39261,37930
6.2636e+006,40296,37930
5.32406e+006,40590,37930
4.52545e+006,39480,37930
3.84663e+006,40283,37930
3.26964e+006,39990,37930
2.77919e+006,40581,37930
2.36231e+006,39575,37930
2.00797e+006,39364,37930
1.70677e+006,39625,37926
1.45075e+006,39859,37926
1.23314e+006,39962,37926
1.04817e+006,39814,37926
890945,38433,37926
757303,39522,37926
643708,39558,37926
547151,39937,37926
465079,39146,37926
395317,39286,37926
336019,39886,37926
285616,40526,37907
242774,39686,37907
206358,39123,37907
175404,40079,37907
149094,39186,37907
126730,39957,37907
107720,39575,37907
91562.1,39778,37907
77827.8,38796,37907
66153.6,39786,37907
56230.6,40289,37907
47796,39281,37907
40626.6,39752,37907
34532.6,39084,37907
29352.7,39954,37907
24949.8,40076,37907
21207.3,40121,37907
18026.2,40535,37907
15322.3,40368,37907
13024,39154,37907
11070.4,39981,37907
9409.81,39585,37907
7998.34,39182,37907
6798.59,39208,37907
5778.8,39733,37907
4911.98,39573,37907
4175.18,39873,37907
3548.9,40052,37907
3016.57,40030,37729
2564.08,39690,37729
2179.47,39704,37729
1852.55,39350,37729
1574.67,39600,37729
1338.47,39604,37729
1137.7,40702,37686
967.043,39118,37686
821.986,39059,37686
698.688,39242,37686
593.885,38569,37686
504.802,38709,37686
429.082,39474,37686
364.72,39282,37396
310.012,38857,37244
263.51,38296,37076
223.983,38149,36860
190.386,37978,35827
161.828,37860,35827
137.554,38968,35827
116.921,37346,35827
99.3827,36189,35574
84.4753,35977,35046
71.804,35816,34331
61.0334,35672,33845
51.8784,34235,33420
44.0966,32913,32385
37.4821,32988,31342
31.8598,31292,30720
27.0808,30751,29535
23.0187,28866,28046
19.5659,27294,26800
16.631,26116,25873
14.1364,25102,24085
12.0159,23056,22541
10.2135,22558,21856
8.6815,20973,20480
7.37927,19546,19399
6.27238,18635,18570
5.33152,17417,17412
4.53179,16461,16452
3.85203,15753,15726
3.27422,15071,15071
2.78309,14672,14672
2.36563,14229,14229
2.01078,13874,13867
1.70916,13562,13559
1.45279,13271,13271
1.23487,13021,13020
1.04964,12877,12877
0.892194,12718,12718
0.758365,12585,12581
0.64461,12468,12465
0.547919,12312,12312
0.465731,12193,12193
0.395871,12100,12100
0.336491,12036,12036
0.286017,11986,11986
0.243115,11935,11935
0.206647,11894,11894
0.17565,11858,11858
0.149303,11809,11809
0.126907,11780,11780
0.107871,11761,11761
0.0916905,11731,11731
0.0779369,11712,11712
0.0662464,11690,11690
0.0563094,11662,11662
0.047863,11631,11631
0.0406836,11604,11604
0.034581,11580,11580
0.0293939,11571,11571
0.0249848,11556,11556
0.0212371,11537,11537
0.0180515,11508,11508
0.0153438,11495,11495
0.0130422,11490,11490
0.0110859,11476,11476
0.009423,11463,11463
0.00800955,11449,11449
0.00680812,11438,11438
0.0057869,11431,11431
0.00491887,11417,11417
0.00418104,11404,11404
0.00355388,11392,11392
0.0030208,11383,11383
